qty_url_alphanumeric,url_length,qty_domain_alphanumeric,qty_vowels_domain,domain_length,qty_directory_alphanumeric,directory_length,qty_file_alphanumeric,file_length,qty_params_alphanumeric,params_length,qty_params,email_in_url,url_shortened,phishing
14,205,3,2,16,4,16,1,9,5,173,2,1,0,1
12,72,1,4,14,9,46,0,0,0,0,0,0,0,0
10,71,2,8,26,7,45,1,9,0,0,0,0,0,1
3,19,2,6,19,0,0,0,0,0,0,0,0,0,0
7,35,3,10,22,3,13,2,12,0,0,0,0,0,1
3,19,2,6,19,0,0,0,0,0,0,0,0,0,0
6,43,2,6,16,3,27,0,0,0,0,0,0,0,1
4,20,2,7,19,1,1,0,0,0,0,0,0,0,0
3,10,2,2,10,0,0,0,0,0,0,0,0,0,0
5,28,3,7,28,0,0,0,0,0,0,0,0,0,0
5,27,2,5,11,2,16,1,15,0,0,0,0,0,1
4,17,3,4,17,0,0,0,0,0,0,0,0,0,0
31,337,2,3,12,3,49,0,32,25,276,6,0,0,1
9,139,2,4,50,6,89,1,10,0,0,0,0,0,1
6,64,1,7,18,4,46,0,0,0,0,0,0,0,1
4,18,3,5,18,0,0,0,0,0,0,0,0,0,0
12,82,2,5,19,9,63,0,0,0,0,0,0,0,1
3,14,2,4,14,0,0,0,0,0,0,0,0,0,0
8,42,3,6,19,4,23,0,0,0,0,0,0,0,1
3,15,2,4,15,0,0,0,0,0,0,0,0,0,0
5,25,2,3,13,2,12,1,11,0,0,0,0,0,1
4,13,2,2,12,1,1,0,0,0,0,0,0,0,0
4,20,2,4,19,1,1,0,0,0,0,0,0,0,0
4,22,2,4,21,1,1,0,0,0,0,0,0,0,1
2,16,1,6,16,0,0,0,0,0,0,0,0,0,0
4,32,2,7,25,1,1,0,0,0,6,0,0,0,1
5,15,3,2,14,1,1,0,0,0,0,0,0,0,0
4,31,2,12,30,1,1,0,0,0,0,0,0,0,0
2,8,1,2,8,0,0,0,0,0,0,0,0,0,0
4,19,1,3,11,2,8,1,7,0,0,0,0,0,0
3,20,2,5,20,0,0,0,0,0,0,0,0,0,0
7,63,2,13,37,4,26,0,0,0,0,0,0,0,1
6,36,2,10,25,3,11,0,0,0,0,0,0,0,1
6,43,2,6,17,3,22,1,12,0,0,0,0,0,0
8,23,2,5,16,5,7,0,0,0,0,0,0,0,1
7,37,2,1,8,4,29,1,21,0,0,0,0,0,1
8,44,2,3,12,2,6,0,0,2,26,1,0,0,1
4,28,2,11,27,1,1,0,0,0,0,0,0,0,1
3,11,2,1,11,0,0,0,0,0,0,0,0,0,0
5,28,4,7,28,0,0,0,0,0,0,0,0,0,0
